,-,14852200,2,270,30,461,7,b,c,ch,d,eyz,f,fair,g,h,j,k,l,m,miaspacic,n,p,q,r,s,sh,t,v,vivo9,w,x,y,z,zh,じゃあ,�yue
-,0,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2,2,0,1,0,0,1,1,0,0,0,0,4,0,4,0,0,0,0
14852200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,2,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,4,0,2,2,0,5,4,0,0,1,0,0,0,0,2,1,5,2,1,0,0
c,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0
ch,1,0,0,1,0,0,0,1,14,0,5,0,0,0,2,0,0,1,2,1,0,0,1,12,2,2,6,3,0,0,0,3,0,16,16,0,0
d,3,0,0,0,0,0,0,2,0,0,0,0,0,0,47,6,3,4,10,1,0,3,0,1,2,1,8,17,0,0,1,2,6,6,4,0,0
eyz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,2,0,0,0,1,0,0,2,0,0,0,0,3,0,3,0,0,0,0
fair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,2,4,7,1,0,0,2,0,2,1,0,1,1,0,0,0,0,2,4,2,0,0
h,1,0,0,0,0,0,0,2,0,2,5,0,2,0,6,0,1,1,6,2,0,1,2,0,2,4,3,2,0,0,30,0,4,0,2,0,0
j,0,0,0,0,0,0,0,3,2,0,4,0,0,0,24,1,0,2,4,2,0,2,0,9,0,2,13,3,0,0,2,2,0,1,3,1,0
k,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
l,4,1,0,0,0,0,0,2,0,1,87,0,0,0,2,5,0,2,0,2,0,4,1,0,10,1,4,6,0,1,1,0,2,10,4,0,0
m,1,0,0,0,0,0,0,6,0,1,1,0,2,0,0,4,1,1,3,0,0,4,0,0,1,0,0,3,0,0,3,2,2,1,0,0,0
miaspacic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,1,1,0,0,1,0,7,0,0,2,0,0,5,0,4,2,0,0,0
p,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,2,1,0,2,1,0,0,0,0,1,1,0,1,0,0,1,0,1,2,0,0,0
q,1,0,0,0,0,0,1,0,1,3,3,0,0,0,0,2,18,3,2,0,0,1,0,0,0,1,1,1,0,0,0,6,1,2,2,0,0
r,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,1,1,3,0,0,20,1,0,0,0,2,1,0,0,0,1,4,1,1,0,0
s,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,14,0,0,0,1,9,0,1,2,0,1
sh,2,0,0,0,0,0,0,2,0,3,13,0,2,0,1,6,6,6,14,3,0,7,0,0,11,16,0,4,0,0,4,4,7,13,6,0,0
t,0,0,0,0,0,0,0,2,0,2,25,0,1,0,1,2,3,1,4,0,0,3,1,1,0,0,1,0,0,0,1,0,21,5,8,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vivo9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,6,0,0,0,0,0,0,2,1,1,3,0,2,0,1,4,4,1,3,9,0,4,0,1,1,2,4,1,1,0,0,3,7,2,0,0,0
x,2,0,0,0,0,0,0,3,1,0,11,0,1,0,0,20,4,1,7,3,0,3,1,4,2,0,2,0,0,0,5,0,7,3,0,0,0
y,3,0,0,0,0,1,0,2,0,0,11,0,1,0,3,3,9,0,5,2,0,10,0,1,5,3,1,2,0,0,2,1,0,1,5,0,0
z,2,0,0,0,0,0,0,7,2,1,22,0,0,0,2,4,2,1,8,0,0,2,2,0,3,5,6,1,0,0,0,2,2,0,12,0,0
zh,0,0,0,0,0,0,0,0,0,0,7,1,0,0,7,1,14,1,3,0,0,0,0,0,2,3,4,1,0,0,1,9,7,15,0,0,0
じゃあ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
�yue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
