,-,14854200,2,270,30,461,9,b,c,ch,d,f,fair,g,h,j,k,l,m,maggie,n,p,q,r,s,sh,t,w,x,y,z,zh
-,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,2,0,4,0,0,0,1,1,0,4,0,4,0,0
14854200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,3,0,0,0,0,0,0,0,1,0,7,5,0,1,1,1,1,3,1,0,3,5,0,0,0,1,0,1,1,3,3,1
c,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
ch,0,0,0,1,0,0,0,1,21,0,5,1,0,1,0,1,0,0,1,0,0,0,15,2,5,2,2,0,2,2,22,11
d,0,0,0,0,0,0,0,0,0,0,0,4,0,34,9,4,2,10,1,0,6,0,1,2,1,8,10,1,2,4,7,6
f,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,2,1,0,0,1,1,0,2,1,0,3,0,2,0,1
fair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,1,0,0,0,0,0,0,4,0,1,6,0,0,0,3,0,7,0,1,0,2,0,2,0,0,0,2,0,2,1,5,0
h,2,0,0,0,0,0,0,2,2,0,3,4,0,7,0,0,2,6,0,0,1,0,1,1,2,2,4,21,2,1,3,3
j,0,0,0,0,0,0,0,4,0,0,9,0,0,23,2,0,1,1,1,0,3,1,8,1,1,14,0,1,3,2,5,3
k,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0
l,2,1,0,0,0,0,0,4,1,0,87,0,0,3,2,2,2,0,3,0,5,0,0,7,0,6,4,1,3,2,12,4
m,0,0,0,0,0,0,0,5,0,0,2,2,0,1,4,0,0,2,0,1,3,1,0,1,0,0,2,2,1,2,1,0
maggie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,2,1,2,2,0,0,0,0,4,0,1,3,3,0,4,2,1
p,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,2,3,0
q,1,0,0,0,0,0,1,1,0,4,4,1,0,0,4,15,4,2,0,0,0,0,0,0,1,2,3,0,7,1,3,2
r,1,0,0,0,0,0,0,1,0,0,2,0,0,3,1,2,0,3,1,0,18,1,1,0,0,0,1,1,1,4,0,1
s,1,0,0,0,1,0,0,2,0,2,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,18,1,0,3,1,4,1
sh,2,0,0,0,0,0,0,1,0,0,18,2,0,2,3,2,4,10,2,0,7,0,0,7,15,0,6,4,6,8,12,8
t,0,0,0,0,0,0,0,1,0,1,34,0,0,1,2,1,2,2,0,0,3,1,2,0,0,1,0,2,0,19,8,3
w,3,0,0,0,0,0,0,1,0,1,5,3,0,1,2,2,2,0,9,0,5,0,1,1,1,5,2,0,3,5,2,2
x,1,0,0,0,0,0,0,3,0,0,9,0,0,0,23,5,0,8,2,0,5,1,4,0,1,2,0,6,0,5,1,0
y,2,0,0,0,0,1,0,3,0,0,8,1,0,4,1,5,5,9,1,0,13,0,0,3,2,2,2,2,1,0,1,1
z,2,0,0,0,0,0,0,6,1,1,22,0,0,0,3,2,0,6,1,0,2,1,0,6,2,7,1,0,2,3,0,16
zh,0,0,0,0,0,0,0,0,1,2,6,1,0,7,2,15,0,6,0,0,1,0,0,1,2,6,1,0,8,6,16,0
