,-,2,30,42854200,89,b,c,ch,ciao,d,f,g,h,j,jsb,k,l,m,n,p,q,r,s,sh,so,t,v,w,x,y,z,zh,�
-,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,2,2,2,0,0,0,1,1,0,1,0,4,0,4,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42854200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,4,0,0,0,0,0,0,0,0,6,3,2,1,2,0,0,3,2,3,2,0,0,0,2,0,1,0,2,1,2,4,1,0
c,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0
ch,0,0,0,0,0,0,19,0,0,2,0,1,0,0,0,0,0,1,1,1,14,2,3,3,0,4,0,1,4,0,18,14,0
ciao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,1,0,0,0,0,3,0,2,0,0,3,36,8,3,0,1,10,0,1,0,1,2,0,5,0,14,0,3,0,3,4,1,0
f,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,0,1,2,0,1,1,0,0,0,2,0,1,1,0,0
g,0,0,0,0,0,2,0,0,0,4,0,0,3,1,0,8,0,1,3,0,1,1,0,4,1,1,0,0,0,0,3,2,0
h,0,0,0,0,0,4,1,1,0,6,1,4,0,0,0,1,6,4,0,1,0,2,2,1,0,2,0,20,2,2,1,1,0
j,0,0,0,0,1,5,0,0,0,2,0,24,1,0,0,0,5,1,1,0,6,0,1,11,0,1,0,4,2,2,4,2,0
jsb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
l,3,0,0,1,0,3,1,0,0,86,0,5,2,4,0,1,0,1,5,0,1,1,0,4,0,6,0,1,1,4,3,2,1
m,0,0,0,0,0,4,1,1,0,3,2,0,3,0,0,1,5,0,4,0,0,1,0,1,0,0,0,1,1,0,1,2,0
n,0,0,0,0,0,1,0,0,0,3,1,2,1,2,0,0,5,2,0,0,0,3,0,0,0,1,0,4,0,3,1,0,0
p,0,0,0,0,0,15,0,0,0,3,1,0,1,0,0,0,1,5,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0
q,1,0,0,0,0,0,1,2,1,1,0,1,0,17,0,5,2,1,0,1,0,0,1,0,0,3,0,0,5,1,0,1,0
r,0,0,0,0,0,0,0,0,0,4,0,1,3,1,0,0,4,0,19,0,0,0,0,1,0,2,0,1,0,5,0,2,0
s,0,0,0,0,0,0,2,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,21,0,0,0,0,8,0,1,2,0
sh,0,0,1,0,0,0,0,1,0,14,2,2,6,1,0,3,16,2,6,1,0,6,13,0,0,6,0,2,6,2,13,8,0
so,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t,0,0,0,0,0,1,0,1,0,36,1,1,1,0,0,1,6,0,0,1,2,3,1,0,0,0,0,1,1,17,4,2,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,5,0,0,0,0,3,0,0,0,4,2,3,4,2,0,1,0,7,5,0,0,1,1,0,0,2,1,0,2,9,1,0,0
x,1,0,0,0,0,2,0,0,0,8,0,2,21,3,0,0,3,1,3,0,1,0,1,2,0,1,0,6,0,11,1,1,0
y,2,0,0,0,0,4,0,0,0,7,1,3,2,9,0,0,7,1,10,0,0,5,1,3,0,0,0,3,1,0,3,2,0
z,1,0,0,0,0,3,2,0,0,25,1,2,3,1,0,0,2,0,4,1,0,2,5,6,0,3,0,0,2,3,0,17,0
zh,0,0,0,0,0,1,0,0,0,4,0,3,1,12,1,0,4,2,1,1,1,1,1,8,0,4,0,0,6,2,18,0,0
�,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
