,-,14854200,2,270,30,461,9,b,c,ch,d,f,fair,g,h,j,k,l,m,maggie,n,p,q,r,s,sh,t,w,x,y,z,zh
-,0,0,1,0,0,0,0,0,0,1,4,0,0,1,0,0,0,3,2,0,4,0,0,0,1,0,0,4,0,4,0,0
14854200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,3,0,0,0,0,0,0,0,0,0,6,5,0,1,2,1,1,2,1,0,3,6,1,0,0,1,0,1,2,2,3,1
c,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0
ch,0,0,0,1,0,0,0,1,20,0,5,1,0,1,1,1,0,0,1,0,0,0,14,1,3,3,3,0,3,1,22,11
d,1,0,0,0,0,0,0,2,0,0,0,3,0,34,8,4,4,8,1,0,3,0,1,1,1,8,16,2,2,4,6,5
f,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,2,2,0,0,2,0,0,2,1,0,3,0,1,0,0
fair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,1,0,0,0,0,0,0,3,0,1,6,0,0,0,2,0,5,0,1,1,1,0,2,0,0,0,2,1,2,1,6,2
h,3,0,0,0,0,0,0,3,1,0,5,5,0,6,0,1,4,3,0,0,0,1,0,1,2,2,4,22,2,2,3,3
j,0,0,0,0,0,0,0,4,0,0,9,0,0,20,3,0,2,3,1,0,2,0,7,2,1,13,0,3,3,1,5,4
k,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0
l,1,1,0,0,0,0,0,2,1,0,91,0,0,3,3,2,2,0,1,0,7,0,0,6,0,6,4,1,2,2,14,7
m,0,0,0,0,0,0,0,4,0,0,3,2,0,0,4,1,1,2,0,0,4,1,0,1,0,0,1,2,1,1,1,1
maggie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,1,0,0,0,0,0,0,0,0,0,4,1,0,2,0,1,1,2,2,0,0,0,0,4,0,1,3,3,0,5,2,0
p,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,2,2,0,0,2,2,0
q,1,0,0,0,0,0,1,1,1,2,3,0,0,0,4,16,5,2,1,0,0,0,0,0,1,2,4,0,7,1,1,1
r,1,0,0,0,0,0,0,1,0,0,2,0,0,2,1,2,0,1,1,0,22,1,1,0,0,1,1,1,0,4,0,0
s,0,0,0,0,1,0,0,2,0,1,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,16,0,0,4,1,4,1
sh,2,0,0,0,0,0,0,0,0,0,18,2,0,3,4,3,5,10,2,0,8,0,0,9,13,0,6,3,5,8,12,9
t,0,0,0,0,0,0,0,2,0,1,32,0,0,1,1,1,1,4,0,0,2,2,2,1,0,1,0,2,0,18,8,2
w,3,0,0,0,0,0,0,2,0,1,4,2,0,2,3,2,0,0,9,0,4,0,1,2,1,5,2,0,4,6,1,2
x,1,0,0,0,0,0,0,2,0,0,9,1,0,1,24,3,0,6,2,0,4,1,5,0,1,4,0,7,0,7,2,1
y,3,0,0,0,0,1,0,2,0,0,9,0,0,4,2,6,3,11,2,0,11,0,0,5,2,1,2,2,3,0,0,2
z,2,0,0,0,0,0,0,8,1,1,21,0,0,0,3,1,0,6,1,0,3,1,0,6,3,6,0,0,2,3,0,15
zh,0,0,0,0,0,0,0,0,0,2,6,1,0,7,1,13,1,7,0,0,1,0,2,1,2,4,1,0,8,6,17,0
