,-,270,30,b,c,ch,d,f,g,h,j,k,l,m,n,p,q,r,s,sh,t,w,x,y,z,zh
-,0,0,0,0,0,0,5,0,1,0,0,0,4,0,4,0,0,1,0,1,0,4,0,3,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,1,0,0,0,0,0,4,7,1,2,1,0,1,2,6,6,1,0,0,1,0,1,3,4,4,1
c,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1
ch,0,1,0,0,17,0,7,0,1,0,0,0,1,0,1,0,14,3,1,6,2,1,1,0,21,15
d,4,0,0,0,0,1,0,2,38,5,4,2,13,1,2,0,1,3,1,3,16,2,1,5,4,2
f,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,0,2,1,0,4,1,1,0,0
g,0,0,0,2,0,0,3,0,0,4,2,8,0,0,1,0,1,1,0,2,1,1,3,0,3,2
h,3,0,0,2,2,1,3,2,8,0,0,2,4,1,1,0,0,1,2,0,3,26,0,4,2,2
j,0,0,0,3,0,0,6,0,20,3,0,3,1,1,3,1,5,2,2,13,0,4,3,0,1,3
k,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
l,1,0,0,3,2,0,93,0,5,2,1,1,0,2,7,0,0,7,0,2,3,0,2,3,5,5
m,0,0,0,5,0,1,4,3,0,2,0,0,3,0,5,1,0,2,0,2,2,1,2,2,1,2
n,1,0,0,0,0,0,5,0,2,0,1,0,1,1,0,0,1,5,0,0,2,5,0,3,1,1
p,0,0,0,15,0,1,1,2,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,2,2,0
q,0,0,0,1,0,4,1,0,0,2,18,5,3,2,0,1,0,0,1,2,4,0,6,0,3,1
r,1,0,0,1,0,0,2,0,1,1,0,1,3,2,16,0,0,0,0,0,1,1,1,3,0,1
s,1,0,1,0,0,1,0,3,1,0,1,0,2,0,0,1,0,1,0,14,0,0,8,0,4,1
sh,2,0,0,0,1,3,7,1,5,6,5,6,11,2,5,0,0,11,16,0,4,3,5,7,13,6
t,0,0,0,1,1,0,34,1,1,2,1,0,2,0,2,1,1,1,0,0,0,2,0,17,7,4
w,4,0,0,3,0,0,2,0,2,5,2,2,1,7,4,0,0,3,1,3,1,0,2,10,1,1
x,2,0,0,0,0,2,9,0,1,25,3,0,8,1,3,2,4,0,1,2,0,7,0,9,1,1
y,4,0,0,4,0,0,6,2,1,2,2,0,10,2,14,1,1,2,1,5,2,2,4,0,1,2
z,1,0,0,5,1,2,30,0,1,3,1,0,5,0,3,1,0,6,3,10,2,1,2,3,0,15
zh,0,0,0,0,0,1,7,1,5,1,14,0,5,0,2,1,2,1,1,4,1,0,7,6,21,0
