,-,b,c,ch,d,f,g,h,j,k,l,m,n,p,q,r,s,sh,t,w,x,y,z,zh
-,0,0,0,0,4,0,2,0,1,0,3,1,6,0,0,1,0,1,0,4,0,2,0,0
b,3,0,0,1,9,6,0,4,1,0,1,1,4,5,0,0,1,0,3,3,1,2,0,2
c,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
ch,0,0,16,0,7,0,1,0,0,0,1,0,1,0,16,1,2,4,3,0,2,1,18,18
d,1,0,0,1,0,2,37,5,3,3,17,1,2,0,1,3,1,4,14,2,1,1,5,3
f,0,1,0,0,1,0,0,2,0,0,1,1,0,1,1,0,3,2,0,5,0,0,0,0
g,0,2,0,1,6,0,0,1,1,5,1,0,0,0,1,0,1,3,0,2,2,2,3,1
h,1,2,2,0,5,4,8,0,1,3,1,3,0,1,1,3,2,0,3,26,0,3,3,1
j,1,1,0,1,7,0,24,3,0,2,2,2,0,0,3,2,1,14,3,3,3,2,3,5
k,0,1,0,0,0,1,3,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0
l,1,2,1,1,89,1,3,5,3,1,0,3,1,1,1,6,0,3,6,1,0,3,7,4
m,1,5,0,2,2,2,0,3,0,1,3,0,4,1,0,1,1,0,0,0,1,2,2,0
n,0,0,0,0,3,0,1,1,3,1,1,1,0,0,0,3,0,0,4,3,0,2,0,2
p,1,20,0,0,2,1,0,0,0,0,1,2,0,0,0,1,1,0,3,1,0,2,0,0
q,0,2,1,3,2,0,1,4,17,2,1,0,0,1,0,0,1,2,7,0,7,0,2,1
r,0,1,0,0,1,0,1,3,0,0,3,2,19,0,0,0,0,1,0,1,1,3,0,2
s,0,0,1,3,1,1,1,1,0,0,2,0,0,0,0,0,0,19,0,0,10,0,2,1
sh,1,3,1,7,9,1,3,6,3,4,13,2,5,0,0,13,19,0,3,2,8,5,14,6
t,0,1,1,0,33,0,1,1,1,0,5,1,2,1,1,1,0,0,0,2,0,17,6,3
w,5,2,0,1,4,1,3,5,1,0,2,8,4,1,0,3,2,5,1,0,1,6,1,1
x,0,2,0,0,8,0,1,24,4,0,6,1,4,1,4,1,2,3,3,9,0,9,2,1
y,1,3,1,0,10,1,2,1,5,2,8,1,18,1,1,5,2,3,1,2,0,0,2,3
z,2,7,0,6,28,0,1,3,0,0,6,1,3,1,0,2,1,9,2,1,2,3,0,17
zh,0,1,0,1,9,0,3,1,15,0,3,2,2,1,1,1,1,6,0,0,7,7,16,0
